,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
309,0.008609962463378907,0.0005003137027794612,0.06458163261413574,0.00333510952423862,kd_tree,euclidean,7,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9432977663109964,0.9659246592465924,0.9637813044797114,0.947615498509374,0.9476463447981486,0.9536540119636104,0.009305652607796274,561
310,0.008203077316284179,0.000980561483536719,0.06959390640258789,0.003140872559898141,kd_tree,euclidean,10,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.943412767461008,0.9715688823554902,0.9629579629129624,0.9486334260389364,0.9463191206973596,0.9545794901004857,0.01083671744157789,557
311,0.008611202239990234,0.0004935117157286622,0.07099781036376954,0.0030458652320806846,kd_tree,euclidean,10,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.9442677760110935,0.9717338840055068,0.9634704680380137,0.9487034554512896,0.9465808973102037,0.9549523852073669,0.01074721949427493,553
312,0.008200883865356445,0.0009747876839568714,0.07619786262512207,0.004206983791554806,kd_tree,euclidean,13,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.947806144728114,0.974819748197482,0.9624112907795744,0.9498922880943329,0.9513995878268873,0.9572667982731833,0.010128442295978724,533
313,0.008595752716064452,0.0008007604270601381,0.07741360664367676,0.003264219011070937,kd_tree,euclidean,13,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}",0.9488611552782193,0.9751272512725128,0.9630662973296399,0.9498564397046759,0.9512945437083574,0.9576421902256858,0.010131182279159165,529
314,0.008198881149291992,0.0004142482187908965,0.08475127220153808,0.006478111790744796,kd_tree,euclidean,16,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'uniform'}",0.9490503238365717,0.9742822428224283,0.9633713003796704,0.9529277296464516,0.9547126459779773,0.9588696007729121,0.00902064484028396,517
315,0.008393621444702149,0.0004863323072337784,0.08339495658874511,0.0023244758161498924,kd_tree,euclidean,16,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'distance'}",0.9501170011700117,0.9747980813141465,0.9640113067797345,0.9528585339175788,0.9545825913550358,0.9592743302842323,0.009060849309654086,513
316,0.008807754516601563,0.001167469547621677,0.08819336891174316,0.0031657016978745155,kd_tree,euclidean,19,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}",0.9543003763370967,0.9735014016806836,0.9668963356300229,0.9538981372176314,0.9554821358303821,0.9608165900324234,0.007958252771770867,505
317,0.008006858825683593,0.000630722936614854,0.08600764274597168,0.003582192152162485,kd_tree,euclidean,19,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}",0.9553545535455356,0.9743339100057667,0.9670480038133714,0.9538272741217979,0.9554679632112154,0.9612073181759633,0.008100585740129417,497
318,0.008610153198242187,0.0005010204649524663,0.09299073219299317,0.002478307757828172,kd_tree,euclidean,22,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'uniform'}",0.9554895548955489,0.9725697256972569,0.9664388310549773,0.957140332272888,0.9551778413600378,0.9613640324670395,0.006956355083582341,493
319,0.008997774124145508,0.0006425159199281302,0.09334235191345215,0.004024982995832117,kd_tree,euclidean,22,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}",0.9566478998123314,0.9737697376973768,0.9664913315799826,0.9568610483069556,0.9552862202124892,0.9618121024146621,0.007192535501913997,489
320,0.00932769775390625,0.0004143661514043617,0.09840121269226074,0.002438457669822201,kd_tree,euclidean,25,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'uniform'}",0.9548770487704877,0.9740314069807364,0.9679988466551332,0.9585659310243636,0.9559389943776389,0.9622831950190005,0.007478350283254426,485
321,0.009394025802612305,0.0004892054719964343,0.09820122718811035,0.0036567215736872678,kd_tree,euclidean,25,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'distance'}",0.956429564295643,0.9752814194808614,0.968136348030147,0.9581507566511268,0.9562332846462183,0.9628471170932679,0.007610388171919914,469
322,0.009210729598999023,0.0007621421313382591,0.10300660133361816,0.005087597301183293,kd_tree,euclidean,28,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}",0.9536703700370337,0.9733047330473306,0.9696105294386279,0.9603766915437818,0.9549785910082235,0.9623888848762433,0.00782694630427312,481
323,0.008791923522949219,0.0004053866653463719,0.10400562286376953,0.006438391095971264,kd_tree,euclidean,28,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}",0.9555778891122245,0.9748964156308231,0.9694496944969451,0.9600707297064768,0.955431281138078,0.9630859968014723,0.007798216699827821,461
324,0.009194469451904297,0.0007462288027747075,0.10693392753601075,0.004580450108864428,kd_tree,euclidean,31,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 31, 'weights': 'uniform'}",0.9570495704957049,0.9723780571139046,0.9690805241385748,0.9598548056850544,0.954620940795134,0.9625975781119498,0.006922795536048306,477
325,0.009001398086547851,0.0006455077177502496,0.10518770217895508,0.0038232719056618646,kd_tree,euclidean,31,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 31, 'weights': 'distance'}",0.958622919562529,0.974216408830755,0.9690646906469065,0.959643050081034,0.9552445360384696,0.9633592022847098,0.007106749666194606,453
326,0.008807086944580078,0.0004057277226128578,0.11019010543823242,0.0014651193443343143,kd_tree,euclidean,34,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 34, 'weights': 'uniform'}",0.9599287659543262,0.9721655549888832,0.9689805231385648,0.9593070756384349,0.9580315399134304,0.9636834389108819,0.005748131217201896,445
327,0.009207487106323242,0.000759514586954923,0.11258535385131836,0.005296391124229698,kd_tree,euclidean,34,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 34, 'weights': 'distance'}",0.961236279029457,0.974059740597406,0.9690446904469046,0.9592570546296111,0.958459219538873,0.9644122242729849,0.006109659401435017,437
