,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,1.9784517288208008,0.0350312851315876,0.04438748359680176,0.0019644374456092395,10,2,100,"{'max_depth': 10, 'max_features': 2, 'n_estimators': 100}",0.9735022350223502,0.981703150364837,0.9786139528061948,0.9731970761052974,0.9746443506272635,0.9763325122848413,0.0033088812623916133,16
20,0.34699478149414065,0.003921723738509738,0.006997203826904297,0.0011014682758552984,10,4,10,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 10}",0.9740972409724097,0.976219762197622,0.9711888785554523,0.9783000526887958,0.9737856566424565,0.97471812085808,0.0023997867551478905,25
21,1.0908183574676513,0.09451843969892851,0.016595840454101562,0.002801570036005309,10,4,30,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 30}",0.9774664413310801,0.9804998049980499,0.9780581139144725,0.976512635306829,0.9730153331065714,0.9771108153524279,0.002434663203104976,9
22,2.0689892768859863,0.29810102156033075,0.026822519302368165,0.007099830166089583,10,4,50,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 50}",0.9735297352973531,0.9799356326896602,0.9787314539812065,0.9766785383194274,0.9763700754316812,0.97704916533507,0.002197729692746519,10
23,3.5906404495239257,0.11384250960896769,0.0440096378326416,0.0016532117115434278,10,4,100,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 100}",0.9742580759140925,0.9825756590899243,0.9799556328896623,0.9761549850937395,0.9758115074998167,0.9777514355148353,0.0030545623016621504,1
24,0.5044177532196045,0.010004950615671726,0.005994987487792969,0.0006182302050335294,10,6,10,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 10}",0.972956396230629,0.9799764664313311,0.9718747187471874,0.9752170911782948,0.9731120403902973,0.974627411548362,0.002885525501554985,26
25,1.6052722454071044,0.10984747628311034,0.01899576187133789,0.008074702739903662,10,6,30,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 30}",0.9748005813391467,0.9822581559148924,0.9736555698890321,0.9750170071430001,0.9753263037142266,0.9762116785383252,0.0030757804564095254,18
26,6.152334356307984,1.2821152169324879,0.04760613441467285,0.00935482082689291,10,6,50,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 50}",0.9731755650889844,0.9838565052317191,0.9776014426810935,0.9759165516183463,0.976384248050848,0.9773870467646533,0.0035443638437828748,6
27,7.6273809432983395,1.1200065823830496,0.06979575157165527,0.02692324028442053,10,6,100,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 100}",0.9736422364223642,0.9813248132481324,0.9762114287809545,0.9760499409752096,0.9768886265564871,0.9768234619606064,0.002504554776362125,12
28,1.136119556427002,0.0668979709901744,0.012008857727050782,0.006538276989560124,10,8,10,"{'max_depth': 10, 'max_features': 8, 'n_estimators': 10}",0.9734064007306739,0.9792439591062576,0.9747755810891442,0.9766952119890353,0.9751237186284907,0.9758489652956831,0.0019944360017292344,20
29,3.327703762054443,0.2740766665273644,0.023804616928100587,0.006018005520492553,10,8,30,"{'max_depth': 10, 'max_features': 8, 'n_estimators': 30}",0.9738472384723847,0.9837640043067097,0.9784322843228431,0.9764009217204559,0.9758140085502578,0.9776519215611487,0.003387971924771464,3
30,4.770704030990601,1.0196637244585398,0.047802162170410153,0.03216741402050285,10,8,50,"{'max_depth': 10, 'max_features': 8, 'n_estimators': 50}",0.9723222232222323,0.981369813698137,0.9770006033393668,0.9772529462374198,0.9769019654921733,0.9769694943142083,0.0028653759371376356,11
31,8.569868135452271,1.825865050973627,0.0945138931274414,0.10659605126899623,10,8,100,"{'max_depth': 10, 'max_features': 8, 'n_estimators': 100}",0.974906415730824,0.9827281606149396,0.9768947689476895,0.9772187652147235,0.9752529395679519,0.9774003835021695,0.002811027822178942,5
32,0.20500640869140624,0.0021913007968173896,0.006986808776855469,1.536155901339457e-05,20,2,10,"{'max_depth': 20, 'max_features': 2, 'n_estimators': 10}",0.946769467694677,0.9691996919969199,0.9650979843131765,0.9553545822578816,0.9450861028298552,0.9563024719085377,0.009605253323063497,91
33,0.6190240383148193,0.011163535095119284,0.015383672714233399,0.0004909519734265843,20,2,30,"{'max_depth': 20, 'max_features': 2, 'n_estimators': 30}",0.9703838705053718,0.9713738804054708,0.9749947499474996,0.9710578442946036,0.9558406197269519,0.9687309798285408,0.00664072911682043,48
34,1.0339508533477784,0.00914067329757457,0.02381906509399414,0.0007343290471411158,20,2,50,"{'max_depth': 20, 'max_features': 2, 'n_estimators': 50}",0.963139631396314,0.9811481448147814,0.9756214228808955,0.9671762140098843,0.9556230283385689,0.9685427524417227,0.00902199174097467,49
35,2.4955557346343995,0.38234717685651987,0.06259760856628419,0.020424215329108132,20,2,100,"{'max_depth': 20, 'max_features': 2, 'n_estimators': 100}",0.9701430347636808,0.9847148471484715,0.9723972239722398,0.9706760172605828,0.9667376964991962,0.9729343937294822,0.00617042623481244,29
36,0.3711869239807129,0.0067644486408831896,0.006610250473022461,0.0004689805228758648,20,4,10,"{'max_depth': 20, 'max_features': 4, 'n_estimators': 10}",0.9483386500531671,0.9676838435051018,0.9632946329463294,0.9511169691270334,0.9558081060712166,0.9572490044324629,0.007273686577231983,88
37,1.1526260852813721,0.07704909577629022,0.015586948394775391,0.00100100059714843,20,4,30,"{'max_depth': 20, 'max_features': 4, 'n_estimators': 30}",0.954346210128768,0.9760089267559342,0.9707338740054068,0.9721099528468624,0.9588177034354429,0.9664034734188818,0.00832490934810759,62
38,2.3887667655944824,0.4472582470374749,0.029386138916015624,0.00710968754662335,20,4,50,"{'max_depth': 20, 'max_features': 4, 'n_estimators': 50}",0.9645154784881182,0.9795006283396168,0.9737172371723718,0.9697489612303835,0.9700649272694531,0.9715096852696006,0.004956838301050933,35
39,4.647525024414063,0.5833467207733034,0.0529970645904541,0.017024407212267587,20,4,100,"{'max_depth': 20, 'max_features': 4, 'n_estimators': 100}",0.9702947029470296,0.97776644433111,0.9779122791227912,0.9637314338688916,0.9629536071816829,0.9705327646626118,0.006488982958940155,36
