,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
54,0.20118017196655275,0.004969806538153539,0.03881635665893555,0.0019293305753721537,0.00035938136638046257,0.3593813663804626,linear,"{'C': 0.00035938136638046257, 'gamma': 0.3593813663804626, 'kernel': 'linear'}",0.9675146751467515,0.978129781297813,0.973069730697307,0.9663008463554693,0.9688385788697921,0.970771199417457,0.004330384199083369,104
55,0.21022472381591797,0.012501517913611945,0.03319835662841797,0.0006846355949828096,0.00035938136638046257,0.3593813663804626,poly,"{'C': 0.00035938136638046257, 'gamma': 0.3593813663804626, 'kernel': 'poly'}",0.9635246352463525,0.9760214268809355,0.9702247022470225,0.9590994884518164,0.958117409311911,0.9653985439873998,0.006816774781308436,236
56,0.7694478988647461,0.019935616884268783,0.12175526618957519,0.0010800533903823821,0.00035938136638046257,0.3593813663804626,rbf,"{'C': 0.00035938136638046257, 'gamma': 0.3593813663804626, 'kernel': 'rbf'}",0.9283309499761665,0.9704963716303829,0.960246269129358,0.9486500997085443,0.9521398987574782,0.9519729529172849,0.014012283606608875,290
57,0.19427847862243652,0.002296674017634938,0.037164306640625,0.0015941734061387873,0.00035938136638046257,1.0,linear,"{'C': 0.00035938136638046257, 'gamma': 1.0, 'kernel': 'linear'}",0.9675146751467515,0.978129781297813,0.973069730697307,0.9663008463554693,0.9688385788697921,0.970771199417457,0.004330384199083369,104
58,0.2926751136779785,0.023432894075606933,0.026999235153198242,0.0001065751850001974,0.00035938136638046257,1.0,poly,"{'C': 0.00035938136638046257, 'gamma': 1.0, 'kernel': 'poly'}",0.9581612482791495,0.973206398730654,0.9697263639303061,0.9512411879656122,0.9589711011958356,0.9622623261181197,0.008057296787578936,250
59,0.6518236637115479,0.00960094003513419,0.11981983184814453,0.0011195053526673606,0.00035938136638046257,1.0,rbf,"{'C': 0.00035938136638046257, 'gamma': 1.0, 'kernel': 'rbf'}",0.9249742497424975,0.9614779481128144,0.963582969163025,0.9486417628737402,0.9488468490099174,0.9495048690858953,0.013744941161383419,297
60,0.15773839950561525,0.0027427470832522786,0.027755546569824218,0.0008543148372944742,0.001291549665014884,0.0001,linear,"{'C': 0.001291549665014884, 'gamma': 0.0001, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
61,0.38416500091552735,0.02494126623075319,0.07181358337402344,0.0007567722383638085,0.001291549665014884,0.0001,poly,"{'C': 0.001291549665014884, 'gamma': 0.0001, 'kernel': 'poly'}",0.9616912835795025,0.9705530388637219,0.9718780521138546,0.96026747900785,0.964896923374484,0.96585784337927,0.0046438694153414966,199
62,0.7448183059692383,0.027457850860765257,0.12221279144287109,0.0033601296873895584,0.001291549665014884,0.0001,rbf,"{'C': 0.001291549665014884, 'gamma': 0.0001, 'kernel': 'rbf'}",0.964922982563159,0.9739180725140585,0.9715480488138214,0.9659623708624289,0.9656055543328198,0.9683917943210524,0.003638800711465695,160
63,0.15516319274902343,0.0013225313698270883,0.027644824981689454,0.0005033373740944544,0.001291549665014884,0.0002782559402207126,linear,"{'C': 0.001291549665014884, 'gamma': 0.0002782559402207126, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
64,0.4166071891784668,0.05036382137158768,0.08030996322631836,0.01112983331432405,0.001291549665014884,0.0002782559402207126,poly,"{'C': 0.001291549665014884, 'gamma': 0.0002782559402207126, 'kernel': 'poly'}",0.9616679500128335,0.9704413710803774,0.9713280466137995,0.9602683126913304,0.964896923374484,0.9657209882957585,0.004484699441744826,230
65,0.9017924308776856,0.062478802976251135,0.13321657180786134,0.012485018429922192,0.001291549665014884,0.0002782559402207126,rbf,"{'C': 0.001291549665014884, 'gamma': 0.0002782559402207126, 'kernel': 'rbf'}",0.965059650596506,0.9741447414474144,0.9716247162471624,0.9659873813668407,0.9658573267438991,0.9685351525240843,0.0036540046941985517,157
66,0.17427773475646974,0.012264992516170326,0.030195999145507812,0.0017145817199995172,0.001291549665014884,0.000774263682681127,linear,"{'C': 0.001291549665014884, 'gamma': 0.000774263682681127, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
67,0.43215222358703614,0.021318416240712637,0.08107366561889648,0.004414587425096205,0.001291549665014884,0.000774263682681127,poly,"{'C': 0.001291549665014884, 'gamma': 0.000774263682681127, 'kernel': 'poly'}",0.961726283929506,0.9704413710803774,0.9713280466137995,0.9602683126913304,0.964896923374484,0.9657326568174203,0.004474202461775551,205
68,0.8749463081359863,0.04134920397526775,0.13201403617858887,0.0036079936716606116,0.001291549665014884,0.000774263682681127,rbf,"{'C': 0.001291549665014884, 'gamma': 0.000774263682681127, 'kernel': 'rbf'}",0.9650946509465095,0.974296409630763,0.9717713843805105,0.9663608715660577,0.9658890067161541,0.9686828457141552,0.003664109668696402,146
69,0.19808778762817383,0.018330126391326775,0.032395792007446286,0.0019268960145617758,0.001291549665014884,0.002154434690031882,linear,"{'C': 0.001291549665014884, 'gamma': 0.002154434690031882, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
70,0.4326664924621582,0.029509320480844925,0.08281493186950684,0.005154695713055722,0.001291549665014884,0.002154434690031882,poly,"{'C': 0.001291549665014884, 'gamma': 0.002154434690031882, 'kernel': 'poly'}",0.961726283929506,0.9704413710803774,0.9713280466137995,0.9602683126913304,0.964896923374484,0.9657326568174203,0.004474202461775551,205
